,index,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Unnamed: 109,MFR MDL CODE,YEAR MFR,NAME,AircraftType,EngineType,AircraftAge,AircraftManufacturer,AircraftModel,S_Hour_departure,S_Hour_arrival,day_of_week,label
191,5352421,2019,4,12,2,1,2019-12-02,9E,20363,9E,N695CA,3400,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,14685,1468502,34685,SAV,"Savannah, GA",GA,13,Georgia,34,550,910.0,0.0,0.0,0.0,0.0,0900-0959,36.0,946.0,1141.0,4.0,695,1145.0,10.0,10.0,0.0,0.0,1100-1159,0.0,,0.0,145.0,155.0,115.0,1.0,718.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2006,DELTA AIR LINES INC                               ,5,5.0,13,BOMBARDIER INC                ,CL-600-2D24         ,9,11,0,11
207,5509604,2019,4,12,2,1,2019-12-02,9E,20363,9E,N298PQ,5358,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,569,1017.0,48.0,48.0,1.0,3.0,0900-0959,25.0,1042.0,1158.0,8.0,697,1206.0,29.0,29.0,1.0,1.0,1100-1159,0.0,,0.0,128.0,109.0,76.0,1.0,509.0,3,0.0,0.0,0.0,0.0,29.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2013,DELTA AIR LINES INC                               ,5,5.0,6,BOMBARDIER INC                ,CL-600-2D24         ,9,11,0,12
209,5352499,2019,4,12,2,1,2019-12-02,9E,20363,9E,N924EV,3431,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,14321,1432105,34321,PWM,"Portland, ME",ME,23,Maine,12,570,928.0,-2.0,0.0,0.0,-1.0,0900-0959,19.0,947.0,1041.0,5.0,647,1046.0,-1.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,77.0,78.0,54.0,1.0,273.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2003,DELTA AIR LINES INC                               ,5,5.0,16,BOMBARDIER INC                ,CL-600-2B19         ,9,10,0,13
214,5352616,2019,4,12,2,1,2019-12-02,9E,20363,9E,N916XJ,3478,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,580,936.0,-4.0,0.0,0.0,-1.0,0900-0959,20.0,956.0,1036.0,18.0,687,1054.0,-33.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,167.0,138.0,100.0,1.0,740.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2008,DELTA AIR LINES INC                               ,5,5.0,11,BOMBARDIER INC                ,CL-600-2D24         ,9,11,0,14
215,5217546,2019,4,12,2,1,2019-12-02,9E,20363,9E,N832AY,3389,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,13931,1393102,33667,ORF,"Norfolk, VA",VA,51,Virginia,38,580,1140.0,120.0,120.0,1.0,8.0,0900-0959,58.0,1238.0,1334.0,3.0,668,1337.0,149.0,149.0,1.0,9.0,1100-1159,0.0,,0.0,88.0,117.0,56.0,1.0,290.0,2,120.0,0.0,29.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2005,WELLS FARGO TRUST CO NA TRUSTEE                   ,5,5.0,14,BOMBARDIER INC                ,CL-600-2B19         ,9,11,0,15
218,5217336,2019,4,12,2,1,2019-12-02,9E,20363,9E,N315PQ,3313,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12339,1233904,32337,IND,"Indianapolis, IN",IN,18,Indiana,42,585,947.0,2.0,2.0,0.0,0.0,0900-0959,17.0,1004.0,1130.0,4.0,727,1134.0,-33.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,142.0,107.0,86.0,1.0,665.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2014,DELTA AIR LINES INC                               ,5,5.0,5,BOMBARDIER INC                ,CL-600-2D24         ,9,12,0,16
274,5507960,2019,4,12,2,1,2019-12-02,9E,20363,9E,N600LR,5311,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,629,1025.0,-4.0,0.0,0.0,-1.0,1000-1059,38.0,1103.0,1143.0,22.0,705,1205.0,20.0,20.0,1.0,1.0,1100-1159,0.0,,0.0,76.0,100.0,40.0,1.0,187.0,1,0.0,0.0,20.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2007,DELTA AIR LINES INC                               ,5,5.0,12,BOMBARDIER INC                ,CL-600-2D24         ,10,11,0,17
278,5352592,2019,4,12,2,1,2019-12-02,9E,20363,9E,N800AY,3470,14576,1457606,34576,ROC,"Rochester, NY",NY,36,New York,22,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,635,1025.0,-10.0,0.0,0.0,-1.0,1000-1059,31.0,1056.0,1155.0,7.0,720,1202.0,2.0,2.0,0.0,0.0,1200-1259,0.0,,0.0,85.0,97.0,59.0,1.0,264.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2004,DELTA AIR LINES INC                               ,5,5.0,15,BOMBARDIER INC                ,CL-600-2B19         ,10,12,0,18
293,5217469,2019,4,12,2,1,2019-12-02,9E,20363,9E,N8839E,3364,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,15096,1509602,35096,SYR,"Syracuse, NY",NY,36,New York,22,660,1056.0,-4.0,0.0,0.0,-1.0,1100-1159,57.0,1153.0,1238.0,8.0,740,1246.0,26.0,26.0,1.0,1.0,1200-1259,0.0,,0.0,80.0,110.0,45.0,1.0,209.0,1,0.0,0.0,26.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2003,DELTA AIR LINES INC                               ,5,5.0,16,BOMBARDIER INC                ,CL-600-2B19         ,11,12,0,19
325,5352659,2019,4,12,2,1,2019-12-02,9E,20363,9E,N336PQ,3497,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,705,1145.0,0.0,0.0,0.0,0.0,1100-1159,41.0,1226.0,1336.0,5.0,812,1341.0,9.0,9.0,0.0,0.0,1300-1359,0.0,,0.0,107.0,116.0,70.0,1.0,427.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2014,DELTA AIR LINES INC                               ,5,5.0,5,BOMBARDIER INC                ,CL-600-2D24         ,11,13,0,20
364,5663831,2019,4,12,2,1,2019-12-02,9E,20363,9E,N935XJ,5415,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,11042,1104205,30647,CLE,"Cleveland, OH",OH,39,Ohio,44,740,1354.0,94.0,94.0,1.0,6.0,1200-1259,53.0,1447.0,1600.0,5.0,856,1605.0,109.0,109.0,1.0,7.0,1400-1459,0.0,,0.0,116.0,131.0,73.0,1.0,425.0,2,0.0,0.0,16.0,0.0,93.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2008,DELTA AIR LINES INC                               ,5,5.0,11,BOMBARDIER INC                ,CL-600-2D24         ,12,14,0,21
372,5217250,2019,4,12,2,1,2019-12-02,9E,20363,9E,N937XJ,3285,14321,1432105,34321,PWM,"Portland, ME",ME,23,Maine,12,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,745,1314.0,49.0,49.0,1.0,3.0,1200-1259,17.0,1331.0,1437.0,11.0,838,1448.0,50.0,50.0,1.0,3.0,1300-1359,0.0,,0.0,93.0,94.0,66.0,1.0,269.0,2,0.0,0.0,50.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2008,DELTA AIR LINES INC                               ,5,5.0,11,BOMBARDIER INC                ,CL-600-2D24         ,12,13,0,22
385,5219457,2019,4,12,2,1,2019-12-02,9E,20363,9E,N800AY,5120,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,10785,1078502,30785,BTV,"Burlington, VT",VT,50,Vermont,16,755,1231.0,-4.0,0.0,0.0,-1.0,1200-1259,38.0,1309.0,1354.0,5.0,835,1359.0,4.0,4.0,0.0,0.0,1300-1359,0.0,,0.0,80.0,88.0,45.0,1.0,266.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2004,DELTA AIR LINES INC                               ,5,5.0,15,BOMBARDIER INC                ,CL-600-2B19         ,12,13,0,23
394,5221491,2019,4,12,2,1,2019-12-02,9E,20363,9E,N315PQ,5188,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,770,,,,,,1200-1259,,,,,853,,,,,,1400-1459,1.0,C,0.0,83.0,,,1.0,213.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2014,DELTA AIR LINES INC                               ,5,5.0,5,BOMBARDIER INC                ,CL-600-2D24         ,12,14,0,24
403,5219330,2019,4,12,2,1,2019-12-02,9E,20363,9E,N304PQ,5117,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,780,1256.0,-4.0,0.0,0.0,-1.0,1300-1359,41.0,1337.0,1424.0,12.0,887,1436.0,-11.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,167.0,160.0,107.0,1.0,740.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2014,DELTA AIR LINES INC                               ,5,5.0,5,BOMBARDIER INC                ,CL-600-2D24         ,13,14,0,25
409,5507366,2019,4,12,2,1,2019-12-02,9E,20363,9E,N297PQ,5294,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,787,1321.0,14.0,14.0,0.0,0.0,1300-1359,54.0,1415.0,1524.0,3.0,900,1527.0,27.0,27.0,1.0,1.0,1500-1559,0.0,,0.0,113.0,126.0,69.0,1.0,427.0,2,7.0,0.0,13.0,0.0,7.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2013,DELTA AIR LINES INC                               ,5,5.0,6,BOMBARDIER INC                ,CL-600-2D24         ,13,15,0,26
426,5217258,2019,4,12,2,1,2019-12-02,9E,20363,9E,N326PQ,3287,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,810,1327.0,-3.0,0.0,0.0,-1.0,1300-1359,71.0,1438.0,1652.0,11.0,1002,1703.0,21.0,21.0,1.0,1.0,1600-1659,0.0,,0.0,252.0,276.0,194.0,1.0,1391.0,6,0.0,0.0,21.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2014,DELTA AIR LINES INC                               ,5,5.0,5,BOMBARDIER INC                ,CL-600-2D24         ,13,16,0,27
428,5666844,2019,4,12,2,1,2019-12-02,9E,20363,9E,N924EV,5042,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,815,1413.0,38.0,38.0,1.0,2.0,1300-1359,94.0,1547.0,1642.0,5.0,897,1647.0,110.0,110.0,1.0,7.0,1400-1459,0.0,,0.0,82.0,154.0,55.0,1.0,228.0,1,0.0,0.0,81.0,0.0,29.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2003,DELTA AIR LINES INC                               ,5,5.0,16,BOMBARDIER INC                ,CL-600-2B19         ,13,14,0,28
441,5218108,2019,4,12,2,1,2019-12-02,9E,20363,9E,N8877A,5080,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,835,1400.0,5.0,5.0,0.0,0.0,1300-1359,72.0,1512.0,1551.0,4.0,910,1555.0,45.0,45.0,1.0,3.0,1500-1559,0.0,,0.0,75.0,115.0,39.0,1.0,184.0,1,0.0,0.0,45.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2003,DELTA AIR LINES INC                               ,5,5.0,16,BOMBARDIER INC                ,CL-600-2B19         ,13,15,0,29
482,5219720,2019,4,12,2,1,2019-12-02,9E,20363,9E,N600LR,5127,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,11042,1104205,30647,CLE,"Cleveland, OH",OH,39,Ohio,44,882,1439.0,-3.0,0.0,0.0,-1.0,1400-1459,119.0,1638.0,1746.0,7.0,1006,1753.0,67.0,67.0,1.0,4.0,1600-1659,0.0,,0.0,124.0,194.0,68.0,1.0,425.0,2,0.0,0.0,67.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2007,DELTA AIR LINES INC                               ,5,5.0,12,BOMBARDIER INC                ,CL-600-2D24         ,14,16,0,30
484,5221462,2019,4,12,2,1,2019-12-02,9E,20363,9E,N315PQ,5188,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,888,,,,,,1400-1459,,,,,979,,,,,,1600-1659,1.0,C,0.0,91.0,,,1.0,213.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2014,DELTA AIR LINES INC                               ,5,5.0,5,BOMBARDIER INC                ,CL-600-2D24         ,14,16,0,31
491,5352563,2019,4,12,2,1,2019-12-02,9E,20363,9E,N298PQ,3459,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,14685,1468502,34685,SAV,"Savannah, GA",GA,13,Georgia,34,893,1558.0,65.0,65.0,1.0,4.0,1400-1459,98.0,1736.0,1919.0,6.0,1039,1925.0,126.0,126.0,1.0,8.0,1700-1759,0.0,,0.0,146.0,207.0,103.0,1.0,718.0,3,0.0,0.0,81.0,0.0,45.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2013,DELTA AIR LINES INC                               ,5,5.0,6,BOMBARDIER INC                ,CL-600-2D24         ,14,17,0,32
492,5505742,2019,4,12,2,1,2019-12-02,9E,20363,9E,N840AY,5003,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,13931,1393102,33667,ORF,"Norfolk, VA",VA,51,Virginia,38,895,1518.0,23.0,23.0,1.0,1.0,1400-1459,119.0,1717.0,1807.0,4.0,989,1811.0,102.0,102.0,1.0,6.0,1600-1659,0.0,,0.0,94.0,173.0,50.0,1.0,290.0,2,0.0,0.0,82.0,0.0,20.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2005,DELTA AIR LINES INC                               ,5,5.0,14,BOMBARDIER INC                ,CL-600-2B19         ,14,16,0,33
493,5667004,2019,4,12,2,1,2019-12-02,9E,20363,9E,N8688C,5049,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,10785,1078502,30785,BTV,"Burlington, VT",VT,50,Vermont,16,895,1502.0,7.0,7.0,0.0,0.0,1400-1459,83.0,1625.0,1715.0,4.0,985,1719.0,54.0,54.0,1.0,3.0,1600-1659,0.0,,0.0,90.0,137.0,50.0,1.0,266.0,2,7.0,0.0,47.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2002,DELTA AIR LINES INC                               ,5,5.0,17,BOMBARDIER INC                ,CL-600-2B19         ,14,16,0,34
505,5217483,2019,4,12,2,1,2019-12-02,9E,20363,9E,N8839E,3368,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38,905,1541.0,36.0,36.0,1.0,2.0,1500-1559,66.0,1647.0,1738.0,6.0,1004,1744.0,60.0,60.0,1.0,4.0,1600-1659,0.0,,0.0,99.0,123.0,51.0,1.0,288.0,2,11.0,0.0,24.0,0.0,25.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2003,DELTA AIR LINES INC                               ,5,5.0,16,BOMBARDIER INC                ,CL-600-2B19         ,15,16,0,35
